OrderDate,Category,City,Country,CustomerName,Discount,OrderID,PostalCode,ProductName,ProfitValue,Quantity,SalesValue,Region,Segment,ShipDate,ShipMode,State,Sub_Category,DaystoShipActual,SalesForecast,ShipStatus,DaystoShipScheduled,OrderProfitable,SalesaboveTarget,latitude,longitude
2011-01-04T00:00:00.000Z,Office Supplies,Houston,United States,Darren Powers,0.2,CA-2011-103800,77095,"Message Book, Wirebound, Four 5 1/2 X 4 Forms/Pg., 200 Dupl. Sets/Book",6,2,16.45,Central,Consumer,2011-01-08T00:00:00.000Z,Standard Class,Texas,Paper,4,22,Shipped Early,6,null,null,29.8941,-95.6481
2011-01-05T00:00:00.000Z,Office Supplies,Naperville,United States,Phillina Ober,0.2,CA-2011-112326,60540,Avery 508,4,3,11.78,Central,Home Office,2011-01-09T00:00:00.000Z,Standard Class,Illinois,Labels,4,15,Shipped Early,6,null,null,41.7662,-88.141
2011-01-05T00:00:00.000Z,Office Supplies,Naperville,United States,Phillina Ober,0.8,CA-2011-112326,60540,GBC Standard Plastic Binding Systems Combs,-5,2,3.54,Central,Home Office,2011-01-09T00:00:00.000Z,Standard Class,Illinois,Binders,4,5,Shipped Early,6,null,null,41.7662,-88.141
2011-01-05T00:00:00.000Z,Office Supplies,Naperville,United States,Phillina Ober,0.2,CA-2011-112326,60540,SAFCO Boltless Steel Shelving,-65,3,272.74,Central,Home Office,2011-01-09T00:00:00.000Z,Standard Class,Illinois,Storage,4,357,Shipped Early,6,null,null,41.7662,-88.141
2011-01-06T00:00:00.000Z,Office Supplies,Philadelphia,United States,Mick Brown,0.2,CA-2011-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",5,3,19.54,East,Consumer,2011-01-13T00:00:00.000Z,Standard Class,Pennsylvania,Art,7,26,Shipped Late,6,null,null,39.9448,-75.2288
2011-01-07T00:00:00.000Z,Furniture,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,Global Deluxe High-Back Managers Chair,746,9,2573.82,South,Home Office,2011-01-11T00:00:00.000Z,Standard Class,Kentucky,Chairs,4,3373,Shipped Early,6,null,null,37.8274,-87.5632
2011-01-07T00:00:00.000Z,Office Supplies,Athens,United States,Jack OBriant,0,CA-2011-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",5,3,12.78,South,Corporate,2011-01-08T00:00:00.000Z,First Class,Georgia,Art,1,17,Shipped On Time,1,null,null,33.9321,-83.3525
2011-01-07T00:00:00.000Z,Office Supplies,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",0,4,31.12,South,Home Office,2011-01-11T00:00:00.000Z,Standard Class,Kentucky,Fasteners,4,41,Shipped Early,6,null,null,37.8274,-87.5632
2011-01-07T00:00:00.000Z,Office Supplies,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,Ibico Hi-Tech Manual Binding System,274,2,609.98,South,Home Office,2011-01-11T00:00:00.000Z,Standard Class,Kentucky,Binders,4,799,Shipped Early,6,null,null,37.8274,-87.5632
2011-01-07T00:00:00.000Z,Office Supplies,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,Rogers Handheld Barrel Pencil Sharpener,1,2,5.48,South,Home Office,2011-01-11T00:00:00.000Z,Standard Class,Kentucky,Art,4,7,Shipped Early,6,null,null,37.8274,-87.5632
2011-01-07T00:00:00.000Z,Office Supplies,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,3,1,6.54,South,Home Office,2011-01-11T00:00:00.000Z,Standard Class,Kentucky,Paper,4,9,Shipped Early,6,null,null,37.8274,-87.5632
2011-01-07T00:00:00.000Z,Office Supplies,Los Angeles,United States,Lycoris Saunders,0,CA-2011-130813,90049,Xerox 225,9,3,19.44,West,Consumer,2011-01-09T00:00:00.000Z,Second Class,California,Paper,2,25,Shipped Early,3,null,null,34.066,-118.474
2011-01-07T00:00:00.000Z,Technology,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,GE 30524EE4,114,2,391.98,South,Home Office,2011-01-11T00:00:00.000Z,Standard Class,Kentucky,Phones,4,514,Shipped Early,6,null,null,37.8274,-87.5632
2011-01-07T00:00:00.000Z,Technology,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,204,4,755.96,South,Home Office,2011-01-11T00:00:00.000Z,Standard Class,Kentucky,Phones,4,991,Shipped Early,6,null,null,37.8274,-87.5632
2011-01-08T00:00:00.000Z,Furniture,Huntsville,United States,Vivek Sundaresam,0.6,CA-2011-105417,77340,Howard Miller 14-1/2 Diameter Chrome Round Wall Clock,-54,3,76.73,Central,Consumer,2011-01-13T00:00:00.000Z,Standard Class,Texas,Furnishings,5,101,Shipped Early,6,null,null,30.6448,-95.5798
2011-01-08T00:00:00.000Z,Office Supplies,Huntsville,United States,Vivek Sundaresam,0.8,CA-2011-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1",-18,7,10.43,Central,Consumer,2011-01-13T00:00:00.000Z,Standard Class,Texas,Binders,5,14,Shipped Early,6,null,null,30.6448,-95.5798
2011-01-10T00:00:00.000Z,Office Supplies,Laredo,United States,Melanie Seite,0.2,CA-2011-135405,78041,Newell 312,1,2,9.34,Central,Consumer,2011-01-14T00:00:00.000Z,Standard Class,Texas,Art,4,12,Shipped Early,6,null,null,27.5569,-99.4907
2011-01-10T00:00:00.000Z,Technology,Laredo,United States,Melanie Seite,0.2,CA-2011-135405,78041,Memorex Micro Travel Drive 8 GB,10,3,31.2,Central,Consumer,2011-01-14T00:00:00.000Z,Standard Class,Texas,Accessories,4,41,Shipped Early,6,null,null,27.5569,-99.4907
2011-01-11T00:00:00.000Z,Furniture,Springfield,United States,Anthony Jacobs,0,CA-2011-149020,22153,Howard Miller 11-1/2 Diameter Ridgewood Wall Clock,21,1,51.94,South,Corporate,2011-01-16T00:00:00.000Z,Standard Class,Virginia,Furnishings,5,68,Shipped Early,6,null,null,38.7449,-77.237
2011-01-11T00:00:00.000Z,Office Supplies,Springfield,United States,Anthony Jacobs,0,CA-2011-149020,22153,Avery 482,1,1,2.89,South,Corporate,2011-01-16T00:00:00.000Z,Standard Class,Virginia,Labels,5,4,Shipped Early,6,null,null,38.7449,-77.237
2011-01-12T00:00:00.000Z,Furniture,Dover,United States,Seth Vernon,0,CA-2011-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",3,2,9.94,East,Consumer,2011-01-15T00:00:00.000Z,First Class,Delaware,Furnishings,3,13,Shipped Late,1,null,null,39.1564,-75.4955
2011-01-14T00:00:00.000Z,Furniture,Mount Pleasant,United States,Natalie DeCherney,0,CA-2011-109232,29464,Global Highback Leather Tilter in Burgundy,87,6,545.94,South,Consumer,2011-01-17T00:00:00.000Z,Second Class,South Carolina,Chairs,3,715,Shipped On Time,3,null,null,32.8473,-79.8206
2011-01-14T00:00:00.000Z,Furniture,San Francisco,United States,Brian Dahlen,0.15,CA-2011-157147,94109,"OSullivan Elevations Bookcase, Cherry Finish",4,3,334,West,Consumer,2011-01-19T00:00:00.000Z,Standard Class,California,Bookcases,5,438,Shipped Early,6,null,null,37.7917,-122.4186
2011-01-14T00:00:00.000Z,Office Supplies,Bossier City,United States,Chris Selesnick,0,CA-2011-162775,71111,Brown Kraft Recycled Envelopes,25,3,50.94,South,Corporate,2011-01-16T00:00:00.000Z,Second Class,Louisiana,Envelopes,2,67,Shipped Early,3,null,null,32.5449,-93.7038
2011-01-14T00:00:00.000Z,Office Supplies,Bossier City,United States,Chris Selesnick,0,CA-2011-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,34,6,572.58,South,Corporate,2011-01-16T00:00:00.000Z,Second Class,Louisiana,Storage,2,750,Shipped Early,3,null,null,32.5449,-93.7038
2011-01-14T00:00:00.000Z,Office Supplies,Bossier City,United States,Chris Selesnick,0,CA-2011-162775,71111,Staples,5,2,11.36,South,Corporate,2011-01-16T00:00:00.000Z,Second Class,Louisiana,Envelopes,2,15,Shipped Early,3,null,null,32.5449,-93.7038
2011-01-14T00:00:00.000Z,Office Supplies,Bossier City,United States,Chris Selesnick,0,CA-2011-162775,71111,Staples,3,3,5.64,South,Corporate,2011-01-16T00:00:00.000Z,Second Class,Louisiana,Binders,2,7,Shipped Early,3,null,null,32.5449,-93.7038
2011-01-14T00:00:00.000Z,Office Supplies,Newark,United States,Michael Moore,0.7,CA-2011-118192,43055,Avery Metallic Poly Binders,-3,2,3.44,East,Consumer,2011-01-19T00:00:00.000Z,Standard Class,Ohio,Binders,5,5,Shipped Early,6,null,null,40.0724,-82.4046
2011-01-14T00:00:00.000Z,Office Supplies,Newark,United States,Michael Moore,0.2,CA-2011-118192,43055,Xerox 1923,13,7,37.41,East,Consumer,2011-01-19T00:00:00.000Z,Standard Class,Ohio,Paper,5,49,Shipped Early,6,null,null,40.0724,-82.4046
2011-01-14T00:00:00.000Z,Office Supplies,San Francisco,United States,Brian Dahlen,0,CA-2011-157147,94109,4009 Highlighters by Sanford,7,5,19.9,West,Consumer,2011-01-19T00:00:00.000Z,Standard Class,California,Art,5,26,Shipped Early,6,null,null,37.7917,-122.4186
2011-01-14T00:00:00.000Z,Office Supplies,San Francisco,United States,Brian Dahlen,0,CA-2011-157147,94109,Tennsco 6- and 18-Compartment Lockers,239,5,1325.85,West,Consumer,2011-01-19T00:00:00.000Z,Standard Class,California,Storage,5,1737,Shipped Early,6,null,null,37.7917,-122.4186
2011-01-14T00:00:00.000Z,Technology,Bossier City,United States,Chris Selesnick,0,CA-2011-162775,71111,Plantronics S12 Corded Telephone Headset System,259,6,646.74,South,Corporate,2011-01-16T00:00:00.000Z,Second Class,Louisiana,Accessories,2,847,Shipped Early,3,null,null,32.5449,-93.7038
2011-01-15T00:00:00.000Z,Furniture,Philadelphia,United States,Brendan Sweed,0.5,CA-2011-149524,19140,Sauder Cornerstone Collection Library,-53,4,61.96,East,Corporate,2011-01-16T00:00:00.000Z,First Class,Pennsylvania,Bookcases,1,81,Shipped On Time,1,null,null,40.0118,-75.1456
2011-01-16T00:00:00.000Z,Technology,Roswell,United States,Erica Hackney,0,CA-2011-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,66,5,149.95,South,Consumer,2011-01-18T00:00:00.000Z,First Class,Georgia,Accessories,2,196,Shipped Late,1,null,null,34.0213,-84.3104
2011-01-17T00:00:00.000Z,Furniture,Philadelphia,United States,Delfina Latchford,0.2,CA-2011-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,29,6,127.1,East,Consumer,2011-01-19T00:00:00.000Z,Second Class,Pennsylvania,Furnishings,2,167,Shipped Early,3,null,null,39.9925,-75.1133
